regiao,uf,cidade,sexo,faixa_etaria,ano_abertura,mes_abertura,data_abertura,data_resposta,tempo_resposta,nome_fantasia,segmento_de_mercado,area,assunto,grupo_problema,problema,como_comprou_contratou,procurou_empresa,respondida,situacao,avaliacao_reclamacao,nota_do_consumidor,resolvida,contexto_ia,resumo_ia,categoria_ia,sentimento_ia,urgencia_ia
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2024,9,2024-09-13,2024-09-27,14.0,Banco Agibank (Agiplan),"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,Negativação indevida sem contratação do serviço ? fraude bancária,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Negativação indevida sem contratação do serviço ? fraude bancária | Grupo: Cobrança / Contestação,Negativação indevida sem contratação do serviço.,Cobrança,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2024,5,2024-05-11,2024-05-16,5.0,Azul Linhas Aéreas,Transporte Aéreo,Transportes,Aéreo,Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,Área: Transportes | Assunto: Aéreo | Problema: SAC - Dificuldade para cancelar o serviço | Grupo: Atendimento / SAC,Dificuldade para cancelar voo aéreo.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 61 a 70 anos,2024,10,2024-10-12,2024-10-22,10.0,ViajaNet,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Contrato / Oferta,Dificuldade para alterar ou cancelar o contrato /serviço,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Turismo/Viagens | Assunto: Pacote / excursão / agência de turismo | Problema: Dificuldade para alterar ou cancelar o contrato /serviço | Grupo: Contrato / Oferta,Dificuldade para alterar ou cancelar pacote de viagem.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,4,2023-04-17,2023-04-19,2.0,Shopee Brasil,Comércio Eletrônico,Demais Produtos,"Livros e papelaria (material didático, artigos de escritório, etc.)",Contrato / Oferta,Produto falsificado,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Demais Produtos | Assunto: Livros e papelaria (material didático, artigos de escritório, etc.) | Problema: Produto falsificado | Grupo: Contrato / Oferta",Livro com produto falsificado.,Contrato / Oferta,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 61 a 70 anos,2023,11,2023-11-08,2023-11-16,8.0,SKY,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Telecomunicações | Assunto: TV por Assinatura | Problema: Dificuldade para contratar / recusa injustificada | Grupo: Contrato / Oferta,Dificuldade para contratar TV por Assinatura devido a recusa injustificada.,Atendimento,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2025,6,2025-06-20,2025-06-21,1.0,Latam Airlines (Tam),Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Cobrança indevida por excesso de bagagem,Loja física,N,S,Finalizada não avaliada,Não Avaliada,,0,Área: Transportes | Assunto: Aéreo | Problema: Cobrança indevida por excesso de bagagem | Grupo: Cobrança / Contestação,Cobrança indevida por excesso de bagagem.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,12,2023-12-26,2024-01-05,10.0,Carrefour,Supermercados,Demais Produtos,"Combustível / Inflamáveis (gasolina, etanol, óleo, botijão de gás, GLP, carvão, fogos de artifício etc.)",Contrato / Oferta,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Loja física,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Demais Produtos | Assunto: Combustível / Inflamáveis (gasolina, etanol, óleo, botijão de gás, GLP, carvão, fogos de artifício etc.) | Problema: Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc) | Grupo: Contrato / Oferta",Dificuldades com programas de fidelidade do combustível.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 61 a 70 anos,2024,8,2024-08-15,2024-08-21,6.0,Caixa Econômica Federal,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",O cliente está sendo cobrado por tarifas e taxas não previstas em seu cartão de crédito.,Cobrança,Negativo,Media
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2024,5,2024-05-16,2024-05-17,1.0,Latam Airlines (Tam),Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,Área: Transportes | Assunto: Aéreo | Problema: Dificuldade / demora para alterar o contrato de serviço (alteração de voo) | Grupo: Contrato / Oferta,Demora para alterar contrato de voo.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2025,4,2025-04-11,2025-04-17,6.0,Algar Fixo,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Telecomunicações | Assunto: Internet Fixa | Problema: Cobrança em duplicidade / Cobrança referente a pagamento já efetuado | Grupo: Cobrança / Contestação,Cliente reclama sobre cobrança em duplicidade de sua conta de internet fixa.,Cobrança,Negativo,Baixa
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2023,11,2023-11-23,2023-12-01,8.0,Air France,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,2.0,1,"Área: Transportes | Assunto: Aéreo | Problema: Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações) | Grupo: Vício de Qualidade",Bagagem foi extravagiada ou sofreu avaria.,Reembolso,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2024,7,2024-07-11,2024-07-17,6.0,Mercado Livre,Empresas de Intermediação de Serviços / Negócios,Demais Produtos,Móveis e Colchões,Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Demais Produtos | Assunto: Móveis e Colchões | Problema: Má qualidade no atendimento (descortesia / despreparo/ constrangimento) | Grupo: Atendimento / SAC,Má qualidade no atendimento do SAC.,Atendimento,Negativo,Baixa
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,10,2023-10-09,2023-10-16,7.0,Latam Airlines (Tam),Transporte Aéreo,Transportes,Aéreo,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Transportes | Assunto: Aéreo | Problema: Dificuldade de contato / acesso a outros canais (exceto SAC) | Grupo: Atendimento / SAC,Dificuldade em entrar em contato com o SAC para resolver problemas.,Atendimento,Negativo,Baixa
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2025,3,2025-03-27,2025-04-04,8.0,Azul Seguros Cia de Seguros Gerais,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguros de Veículos,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Telefone,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Serviços Financeiros | Assunto: Seguros de Veículos | Problema: Dificuldade de contato / acesso a outros canais (exceto SAC) | Grupo: Atendimento / SAC,Dificuldade em entrar em contato com o SAC para resolver problemas relacionados a seguros de veículos.,Atendimento,Negativo,Baixa
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2025,5,2025-05-09,2025-05-19,10.0,Amazon.com.br,Comércio Eletrônico,Demais Serviços ,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Cobrança / Contestação,Cobrança após cancelamento do serviço,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Demais Serviços  | Assunto: Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc) | Problema: Cobrança após cancelamento do serviço | Grupo: Cobrança / Contestação",Cliente reclama sobre cobrança após cancelar serviços de internet.,Cobrança,Muito Negativo,Baixa
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,8,2023-08-05,2023-08-14,9.0,Copa Airlines,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,S,S,Finalizada avaliada,Resolvida,2.0,1,"Área: Transportes | Assunto: Aéreo | Problema: Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações) | Grupo: Vício de Qualidade",Bagagem foi extravagiada ou sofreu avaria.,Reembolso,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 21 a 30 anos,2023,5,2023-05-06,2023-05-16,10.0,CEEE Distribuição,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,C?obrança de participação financeira em obra? para ligação de energia ou alteração de carga,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Água, Energia, Gás | Assunto: Energia Elétrica | Problema: C?obrança de participação financeira em obra? para ligação de energia ou alteração de carga | Grupo: Cobrança / Contestação",Há dúvida sobre a cobrança de participação financeira em obras relacionadas à ligação de energia ou alterações de carga.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,9,2023-09-29,2023-10-11,6.0,Vivo - Telefônica,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,S,Finalizada avaliada,Resolvida,2.0,1,Área: Produtos de Telefonia e Informática | Assunto: Demais aparelhos de comunicação | Problema: Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores | Grupo: Cobrança / Contestação,"Aparelhos de comunicação com demais aparelhos, devolução de valores pagos atrasada.",Cobrança,Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2023,5,2023-05-12,2023-05-12,0.0,Philco,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),SMS / Mensagem de texto,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Produtos Eletrodomésticos e Eletrônicos | Assunto: Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc ) | Problema: Má qualidade no atendimento (descortesia / despreparo/ constrangimento) | Grupo: Atendimento / SAC",O cliente está insatisfeito com a qualidade do atendimento do SAC.,Atendimento,Negativo,Baixa
S ,RS,Porto Alegre,F,entre 61 a 70 anos,2024,1,2024-01-11,,,BRB - Banco de Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,N,Finalizada não avaliada,Não Avaliada,,0,"Área: Serviços Financeiros | Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS) | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",Cobrança irregular de tarifas e taxas no cartão de crédito consignado.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2024,3,2024-03-07,2024-03-11,4.0,Midway (Riachuelo),"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Negativação indevida referente a tarifa, taxas não previstas contrato / serviço",Loja física,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Negativação indevida referente a tarifa, taxas não previstas contrato / serviço | Grupo: Cobrança / Contestação",Tarifa e taxas não previstas geraram negativação indevida no cartão.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,9,2023-09-13,2023-09-13,0.0,Oi Fixo,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Dados Pessoais e Privacidade,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Telecomunicações | Assunto: Internet Fixa | Problema: Dificuldade de cancelamento / eliminação de dados / revogação do consentimento | Grupo: Dados Pessoais e Privacidade,Dificuldade no cancelamento de serviços de internet fixa.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,4,2023-04-25,2023-05-03,8.0,Samsung,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Produtos Eletrodomésticos e Eletrônicos | Assunto: Ar condicionado, ventilador e aquecedor | Problema: Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia | Grupo: Vício de Qualidade","Ar condicionado, ventilador e aquecedor não funcionam corretamente.",Atendimento,Muito Negativo,Alta
S ,RS,Porto Alegre,M,entre 51 a 60 anos,2024,4,2024-04-08,2024-04-09,1.0,Serasa Experian ,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança / Contestação,Renegociação / parcelamento de dívida,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,Área: Serviços Financeiros | Assunto: Consulta / Monitoramento de CPF | Problema: Renegociação / parcelamento de dívida | Grupo: Cobrança / Contestação,Dívida não renegociada com parcelamento.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 31 a 40 anos,2023,5,2023-05-08,2023-05-11,3.0,Shopee Brasil,Comércio Eletrônico,Produtos de Telefonia e Informática,"Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)",Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Produtos de Telefonia e Informática | Assunto: Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc) | Problema: Má qualidade no atendimento (descortesia / despreparo/ constrangimento) | Grupo: Atendimento / SAC",Acessórios de telefonia e informática apresentam mau atendimento.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 41 a 50 anos,2023,4,2023-04-07,2023-04-17,10.0,Decolar.com,"Viagens, Turismo e Hospedagem",Transportes,Aéreo,Atendimento / SAC,SAC - Descortesia / despreparo / demora,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Transportes | Assunto: Aéreo | Problema: SAC - Descortesia / despreparo / demora | Grupo: Atendimento / SAC,Demora excessiva no atendimento ao cliente do SAC.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2024,12,2024-12-04,,,Banco Bmg,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Não comprei / contratei,S,N,Cancelada,,,0,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores | Grupo: Cobrança / Contestação,Atrás de pagamento com atraso.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2024,1,2024-01-23,2024-01-27,4.0,Banco Inter (Banco Intermedium),"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Cobrança de tarifas, taxas, valores não previstos / não informados | Grupo: Cobrança / Contestação",O cliente está sendo cobrado por tarifas e taxas não previstas em seu cartão de crédito.,Cobrança,Negativo,Media
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2025,5,2025-05-15,2025-05-30,5.0,Will Bank,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,N,S,Finalizada avaliada,Resolvida,3.0,1,Área: Serviços Financeiros | Assunto: Cartão de Crédito / Cartão de Débito / Cartão de Loja | Problema: Cobrança indevida / abusiva para alterar ou cancelar o contrato | Grupo: Cobrança / Contestação,Cobrança indevida e abusiva do cartão de crédito.,Cobrança,Muito Negativo,Media
S ,RS,Porto Alegre,M,entre 21 a 30 anos,2023,9,2023-09-11,2023-09-18,7.0,Claro Residencial,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Renegociação / parcelamento de dívida,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,Área: Telecomunicações | Assunto: TV por Assinatura | Problema: Renegociação / parcelamento de dívida | Grupo: Cobrança / Contestação,Dívida com atraso na TV por Assinatura.,Cobrança,Negativo,Alta
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2023,9,2023-09-28,2023-10-04,6.0,Magazine Luiza - Loja Online,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Lavadora de roupa, louça e secadora",Contrato / Oferta,Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Produtos Eletrodomésticos e Eletrônicos | Assunto: Lavadora de roupa, louça e secadora | Problema: Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento) | Grupo: Contrato / Oferta",Comprador não conseguiu cancelar compra fora do prazo de arrependimento.,Cancelamento,Muito Negativo,Alta
S ,RS,Porto Alegre,F,entre 51 a 60 anos,2025,6,2025-06-17,2025-06-24,7.0,Apple,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Demais Serviços ,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Atendimento / SAC,Dificuldade de contato / demora no atendimento,Internet,S,S,Finalizada não avaliada,Não Avaliada,,0,"Área: Demais Serviços  | Assunto: Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc) | Problema: Dificuldade de contato / demora no atendimento | Grupo: Atendimento / SAC",Dificuldade de contato com o serviço.,Atendimento,Negativo,Alta
S ,RS,Porto Alegre,F,entre 41 a 50 anos,2024,1,2024-01-25,2024-01-26,1.0,Recovery do Brasil Consultoria ,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,"Área: Serviços Financeiros | Assunto: Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos) | Problema: Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas) | Grupo: Cobrança / Contestação",Dúvida sobre cálculo de juros e saldo devedor.,Cobrança,Neutro,Media
S ,RS,Porto Alegre,F,entre 31 a 40 anos,2024,10,2024-10-04,2024-10-09,5.0,iFood,Empresas de Intermediação de Serviços / Negócios,Demais Serviços ,Serviços de entrega / delivery,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,S,Finalizada avaliada,Resolvida,3.0,1,Área: Demais Serviços  | Assunto: Serviços de entrega / delivery | Problema: Não entrega / demora na entrega do produto | Grupo: Entrega do Produto,Demora na entrega do produto.,Entrega,Negativo,Alta
